ELEM_SIZE (B) 	 STRIDE 	 THROUGHPUT (MB/s)
--------------------------------------------------
8192            	 8      	 0.00
8192            	 16     	 0.00
8192            	 24     	 0.00
8192            	 32     	 0.00
8192            	 40     	 7812.50
8192            	 48     	 0.00
8192            	 56     	 0.00
8192            	 64     	 0.00
8192            	 72     	 0.00
8192            	 80     	 0.00
8192            	 88     	 7812.50
8192            	 96     	 7812.50
8192            	 104    	 0.00
8192            	 112    	 0.00
8192            	 120    	 0.00
8192            	 128    	 0.00
8192            	 136    	 7812.50
8192            	 144    	 0.00
8192            	 152    	 7812.50
8192            	 160    	 7812.50
8192            	 168    	 0.00
8192            	 176    	 0.00
8192            	 184    	 0.00
8192            	 192    	 0.00
8192            	 200    	 0.00
8192            	 208    	 7812.50
8192            	 216    	 0.00
8192            	 224    	 0.00
8192            	 232    	 0.00
8192            	 240    	 0.00
8192            	 248    	 0.00
8192            	 256    	 7812.50
8192            	 264    	 7812.50
8192            	 272    	 3906.25
8192            	 280    	 3906.25
8192            	 288    	 3906.25
8192            	 296    	 3906.25
8192            	 304    	 3906.25
8192            	 312    	 3906.25
8192            	 320    	 3906.25
8192            	 328    	 3906.25
8192            	 336    	 3906.25
8192            	 344    	 3906.25
8192            	 352    	 7812.50
8192            	 360    	 7812.50
8192            	 368    	 7812.50
8192            	 376    	 7812.50
8192            	 384    	 7812.50
8192            	 392    	 7812.50
8192            	 400    	 7812.50
8192            	 408    	 7812.50
8192            	 416    	 7812.50
8192            	 424    	 7812.50
8192            	 432    	 7812.50
8192            	 440    	 7812.50
8192            	 448    	 3906.25
8192            	 456    	 3906.25
8192            	 464    	 3906.25
8192            	 472    	 3906.25
8192            	 480    	 3906.25
8192            	 488    	 3906.25
8192            	 496    	 3906.25
8192            	 504    	 3906.25
8192            	 512    	 3906.25
524288          	 8      	 50000.00
524288          	 16     	 100000.00
524288          	 24     	 166666.67
524288          	 32     	 166666.67
524288          	 40     	 250000.00
524288          	 48     	 250000.00
524288          	 56     	 500000.00
524288          	 64     	 500000.00
524288          	 72     	 500000.00
524288          	 80     	 500000.00
524288          	 88     	 0.00
524288          	 96     	 500000.00
524288          	 104    	 500000.00
524288          	 112    	 500000.00
524288          	 120    	 500000.00
524288          	 128    	 500000.00
524288          	 136    	 500000.00
524288          	 144    	 0.00
524288          	 152    	 500000.00
524288          	 160    	 500000.00
524288          	 168    	 500000.00
524288          	 176    	 0.00
524288          	 184    	 0.00
524288          	 192    	 500000.00
524288          	 200    	 500000.00
524288          	 208    	 500000.00
524288          	 216    	 500000.00
524288          	 224    	 0.00
524288          	 232    	 500000.00
524288          	 240    	 500000.00
524288          	 248    	 500000.00
524288          	 256    	 250000.00
524288          	 264    	 500000.00
524288          	 272    	 500000.00
524288          	 280    	 500000.00
524288          	 288    	 500000.00
524288          	 296    	 500000.00
524288          	 304    	 500000.00
524288          	 312    	 500000.00
524288          	 320    	 500000.00
524288          	 328    	 500000.00
524288          	 336    	 500000.00
524288          	 344    	 500000.00
524288          	 352    	 250000.00
524288          	 360    	 500000.00
524288          	 368    	 500000.00
524288          	 376    	 500000.00
524288          	 384    	 500000.00
524288          	 392    	 250000.00
524288          	 400    	 250000.00
524288          	 408    	 0.00
524288          	 416    	 0.00
524288          	 424    	 250000.00
524288          	 432    	 250000.00
524288          	 440    	 500000.00
524288          	 448    	 500000.00
524288          	 456    	 250000.00
524288          	 464    	 500000.00
524288          	 472    	 250000.00
524288          	 480    	 500000.00
524288          	 488    	 500000.00
524288          	 496    	 0.00
524288          	 504    	 250000.00
524288          	 512    	 250000.00
8388608         	 8      	 50314.47
8388608         	 16     	 93023.26
8388608         	 24     	 163265.31
8388608         	 32     	 200000.00
8388608         	 40     	 275862.07
8388608         	 48     	 333333.33
8388608         	 56     	 380952.38
8388608         	 64     	 380952.38
8388608         	 72     	 500000.00
8388608         	 80     	 533333.33
8388608         	 88     	 571428.57
8388608         	 96     	 666666.67
8388608         	 104    	 666666.67
8388608         	 112    	 800000.00
8388608         	 120    	 800000.00
8388608         	 128    	 800000.00
8388608         	 136    	 888888.89
8388608         	 144    	 1000000.00
8388608         	 152    	 1000000.00
8388608         	 160    	 1142857.14
8388608         	 168    	 1142857.14
8388608         	 176    	 1142857.14
8388608         	 184    	 1142857.14
8388608         	 192    	 1142857.14
8388608         	 200    	 1142857.14
8388608         	 208    	 1333333.33
8388608         	 216    	 1333333.33
8388608         	 224    	 1600000.00
8388608         	 232    	 1333333.33
8388608         	 240    	 1600000.00
8388608         	 248    	 1600000.00
8388608         	 256    	 1142857.14
8388608         	 264    	 1333333.33
8388608         	 272    	 1333333.33
8388608         	 280    	 2000000.00
